err_sentence,cor_sentence,error_point,error_type
요기서말하는 특정 응답이라는것이무엇인가요?,여기서 말하는 특정 응답이라는 것이 무엇인가요?,,
나도 초콜릿 빅으로 먹고십다...,나도 초콜릿 빅으로 먹고 싶다...,,
독서실이 시끄러우면 책 넘길떄 신경쓰지 말구 조용하면 본인도 조심하면 되지 않을까요?,"독서실이 시끄러우면 책 넘길 때 신경 쓰지 말고, 조용하면 본인도 조심하면 되기 않을까요?",,
선생님마다나오는 진두 커리큘럼이나 팸플렛을보구 학생에게맞는선생님을 선택하시길바래요.,선생님마다 나오는 진도 커리큘럼이나 팸플렛을 보고 학생에게 맞는 선생님을 선택하시길 바라요.,,
비타민옴총 열씸히 먹고있어요,비타민 엄청 열심히 먹고 있어요.,,
요기서 일본이 막대한 배상금을 추가로받고 청에게 반환햇다고...,여기서 일본이 막대한 배상금을 추가로 받고 청에게 반환했다고...,,
난 엄마가좋은 남자 만났으면좋겟다.,나는 엄마가 좋은 남자 만났으면 좋겠다.,,
그냥 처음에는 책에 중요한부분 밑줄만 그어놓고 나증에 햇갈리는 부분만 따로 정리하는대요.,그냥 처음에는 책에 중요한 부분 밑줄만 그어놓고 나중에 헷갈리는 부분만 따로 정리하는데요.,,
매일 반복적인일상을지내다보면 지치구하기싫어지는게 당연하죠!,매일 반복적인 일상을 지내다 보면 지치고 하기 싫어지는 게 당연하죠!,,
대치동가서 들었는데 돈낭비만 했네요,대치동 가서 들었는데 돈 낭비만 했네요.,,
생각하는건 안돼나요?,생각하는 건 안 되나요?,,
요기에대헤서답변 부탁드립니다,여기에 대해서 답변 부탁드립니다.,,
아니면 괜찮아 교재에잇는문장들을 충분히 복습만할까요?,아니면 괜찮아 교재에 있는 문장들을 충분히 복습만 할까요?,,
자유롭지 안다는게 이해가 잘 안돼요,자유롭지 않다는 게 이해가 잘 안돼요.,,
전엔 계산실수로 틀린 문제는 아무 생각 업씨 다음에 꼼꼼히 풀면 되겠지하고 넘어갔었어요.,전엔 계산 실수로 틀린 문제는 아무 생각 없이 다음에 꼼꼼히 풀면 되겠지 하고 넘어갔었어요.,,
이 교제로 올해강이들어두 갠찬나요?,이 교재로 올해 강의 들어도 괜찮나요?,,
가족이랑 친족이랑가튼 의미로보구 풀면되나요?,가족이랑 친족이랑 같은 의미로 보고 풀면 되나요?,,
글로 정리해서 조만간 올려드릴게요,글로 정리해서 조만간 올려드릴게요.,,
수능 준비를 하다보니 중학교떄처럼 하면 대학 못 가겠다 싶어요,수능 준비를 하다 보니 중학교 때처럼 하면 대학 못 가겠다 싶어요.,,
점수가 잘 안나와서 편한 마음을 가지고 보려고 노력하눈데요,점수가 잘 안 나와서 편한 마음을 가지고 보려고 노력하는데요.,,
여기에대해 설명이필요함미다.,여기에 대해 설명이 필요합니다.,,
말하셨듯이 맑은 날 수증기량은 변화가 거의 없는 것을 고려하면 상대습도가 낮아져도 절대습도가 낮아지는 건 아닙니다,말씀하셨듯이 맑은 날 수증기량은 변화가 거의 없는 것을 고려하면 상대습도가 낮아져도 절대습도가 낮아지는 건 아닙니다.,,
책 유토피아에 대하여 읽어보신적이 인나욥,책 유토피아에 대하여 읽어보신 적이 있나요?,,
혹쉬이런경우에 어떤방법을 추천하시나요?,혹시 이런 경우에 어떤 방법을 추천하시나요?,,
대체 어떻게 이거보다더 완성도있게만드신다는건지요,대체 어떻게 이것보다 더 완성도 있게 만드신다는 건지요.,,
요부분이 심심찮게 자주 등장해서 요거풀고 오면 쉬워져요,요 부분이 심심찮게 자주 등장해서 요거를 풀고 오면 쉬워져요.,,
저보다 더 대단한 사람이 될 거라구 확신합니다,저보다 더 대단한 사람이 될 거라고 확신합니다.,,
이들은 신고 및 세무조사를 일원화해야 한다구 목소리를 높이고 잇다.,이들은 신고 및 세무조사를 일원화해야 한다고 목소리를 높이고 있다.,,
항상 궁금했었는데 저 앨범이 뭔뜻인가요?,항상 궁금했었는데 저 앨범이 뭔 뜻인가요?,,
이거 도데체 누구한테 상담하지?,이걸 도대체 누구한테 상담하지?,,
시간재고 푸시면서 형광펜이랑 별표를 표시하신건가요?,시간 재고 푸시면서 형광펜이랑 별표를 표시하신 건가요?,,
문학 작품들 최대한 많이읽어두시는걸 추쳔드려요,문학 작품들 최대한 많이 읽어두시는 걸 추천드려요!,,
주문 많아서 막힌거 같은데 장바구니 담은건 주문이 되길래 일단 해봤는데 추ㅣ소되려나여,"주문이 많아서 막힌 거 같은데, 장바구니 담은 건 주문이 되길래 일단 해봤는데, 취소되려나요?",,
사냥개를 삶아먹구 높이 뜬 새 없어지면조은 활 숨는다.,사냥개를 삶아 먹고 높이 뜬 새 없어지면 좋은 활 숨는다.,,
인천공항처럼 알려 줬으면좋겟다,인천공항처럼 알려 줬으면 좋겠다.,,
거기서 뭐 학생한명당 주제를 하나씩 올랴가지구 채택되면 그걸로 토론하는 수업하거든,거기서 뭐 학생 한 명당 주제를 하나씩 올려가지고 채택되면 그걸로 토론하는 수업하거든.,,
그리고 이 시점에서도 문제풀떄마다 시간제한을 두고 푸러야하는지 궁금합니다.,그리고 이 시점에서도 문제 풀 때마다 시간제한을 두고 풀어야 하는지 궁금합니다.,,
문법은 개념강의를 다시 듣기보다는 문제풀이 위주로 진행하면서 헷갈리는 부분만 발췌해서 들으시는 걸 추천해요.,문법은 개념 강의를 다시 듣기보다는 문제풀이 위주로 진행하면서 헷갈리는 부분만 발췌해서 들으시는 걸 추천해요.,,
그래두 올바르게 푼거인가요?,그래도 올바르게 푼 것인가요?,,
고전문학개념어를 잘모르는대어떤식으로 공부하는것이 좋을까요?,고전 문학 개념어를 잘 모르는데 어떤 식으로 공부하는 것이 좋을까요?,,
참구가될 강이가없나요?,참고가 될 강의가 없나요?,,
이문재에서 위상이가타구...,이 문제에서 위상이 같다고...,,
사진 첨부햇는디 그이유는무엇인가요?,사진 첨부했는데 그 이유는 무엇인가요?,,
모의고사 분석하실 떄 종이 한장씩 넘기면 소리 괜찮나요?,모의고사 분석하실 때 종이 한 장씩 넘기면 소리 괜찮나요?,,
저 영어 글자 예전부터 보였던 거 같은데 아닌가,"저 영어 글자 예전부터 보였던 거 같은데, 아닌가!",,
난 필연적으로연세대에 입학한다.,나는 필연적으로 연세대에 입학한다.,,
저 절벽에 지층은 부정합일까 정합일까 넘나 궁금한데요,저 절벽에 지층은 부정합일까 정합일까 너무나 궁금한데요.,,
만약 그럿다면 앞으로 이와 가튼문재를 판단할때 상대적인수보다 절대적인수를 먼저 고려하는것인가요?,만약 그렇다면 앞으로 이와 같은 문제를 판단할 때 상대적인 수보다 절대적인 수를 먼저 고려하는 것인가요?,,
"메이지 유신은 입헌 군주제를 지향했구, 의회는 설립하지않았던건가여?","메이지 유신은 입헌 군주제를 지향했고, 의회는 설립하지 않았던 건가요?",,
그런데 무조건 추종하는 사람들도 많을 것 같고 알려고 하지 않는 사람들도 많을 것 같아,"그런데 무조건 추종하는 사람들도 많을 것 같고, 알려고 하지 않는 사람들도 많을 것 같아.",,
미디어가 너무 빡쎄서 정시로 목표두는 중이에요,미디어가 너무 빡세서 정시로 목표를 두는 중이에요.,,
하늕데어느거이 맞는거인가요?,하는데 어느 것이 맞는 것인가요?,,
속두와 빠르기는다른표현인가요?,속도와 빠르기는 다른 표현인가요?,,
내년에 저두 갖구싶네요,내년에 저도 갖고 싶네요.,,
저도 커피 한번도 안마셔봤는데 저랑 완전 똑같으셔요,저도 커피 한 번도 안 마셔봤는데 저랑 정말 똑같으셔요.,,
제목표도 빠르기이루기로 계획 촘촘히 잡아봄니다,제 목표도 빠르기 이루기로 계획 촘촘히 잡아봅니다,,
정안되면 일단 연기라도해주면좋겟다.,정 안되면 일단 연기라도 해주면 좋겠다.,,
강이를 듣다가설명하시는선생님 외에 칠판을지우시는선생님이갑자기 빠르게 등장하다사라졌습니다.,강의를 듣다가 설명하시는 선생님 외에 칠판을 지우시는 선생님이 갑자기 빠르게 등장하다 사라졌습니다.,,
계속 포기하지 않구 하다보면 그 자리에 있는 것 같다가도 나도 모르게 훅 올라가 있어요.,계속 포기하지 않고 하다 보면 그 자리에 있는 것 같다가도 나도 모르게 훅 올라가 있어요.,,
아니면 걍 이런일도있었구나?,아니면 그냥 이런 일도 있었구나?,,
형광펜 심 꺼내서 치약짜듯이 꾹꾹 끝까지 짜서 쓰는 사람,형광펜 심을 꺼내서 치약을 짜듯이 꾹꾹 끝까지 짜서 쓰는 사람.,,
서서히 당기지안고 빠르게 당기면 한일이 달라지나요?,서서히 당기지 않고 빠르게 당기면 한 일이 달라지나요?,,
스능특강 목차 순서대으로 올라오저요,수능특강 목차 순서대로 올라오나요?,,
액면이자율을 높인다고는 안했지앉저요?,액면 이자율을 높인다고는 안 했지 않나요?,,
토요일에 몰아서 수강하구담주 평일에는 익힘책으로과재를 나갈거가튼데요.,토요일에 몰아서 수강하고 다음 주 평일에는 익힘책으로 과제를 나갈 것 같은데요.,,
올해 수능준비가 처음이라 잘모르네요.,올해 수능 준비가 처음이라 잘 모르네요.,,
내가 풀땐 나 말곤 아무도 못알아보는데 글씨 대박이시네요,내가 풀 땐 나 말곤 아무도 못 알아보는데 글씨가 대박이시네요.,,
전 영어단어장을보면 반이상이모르는단어인데요.,저는 영어 단어장을 보면 반 이상이 모르는 단어인데요.,,
일주일에 전화 한번씩 기분전환용으로 밖에 안해요,일주일에 전화 한 번씩 기분전환용으로 밖에 안 해요.,,
친구들이 부담스럽게 한다,친구들이 부담스럽게 한다.,,
힘점에 힘을 줬을떄 지렛대가 움직이지 않을 경우에는 작용점에 있는곳이 더커서 움직이지 않는 경우두 있는거 아닌가요?,힘점에 힘을 줬을 때 지렛대가 움직이지 않을 경우에는 작용점에 있는 곳이 더 커서 움직이지 않는 경우도 있는 것 아닌가요?,,
공부를할랴면 체력과정신력 모두 중요하다고생각함미다,공부를 하려면 체력과 정신력 모두 중요하다고 생각합니다.,,
갑자기 찾아보구 집 가고 싶어짐,갑자기 찾아보고 집 가고 싶어짐.,,
정신이또렷하게 존재한다는이미가뭔가요?,정신이 또렷하게 존재한다는 의미가 뭔가요?,,
입학사정관 분들이 좋아하시는 증빙자료 가 되는 거에요.,입학 사정관 분들이 좋아하시는 증빙자료 가 되는 거예요.,,
어느정도로 하는게 좋을까요,어느 정도로 하는 게 좋을까요?,,
문과전향으로 높아지고 공대는 다 달라서 서울 중대는 갈수있지 않을까요?,문과 전향으로 높아지고 공대는 다 달라서 서울 중대는 갈 수 있지 않을까요?,,
나 이재스업듣구올게,나 이제 수업 듣고 올게!,,
할때는 하구 쉴때는쉬는게 제일 조타고생각함니다.,할 때는 하고 쉴 때는 쉬는 게 제일 좋다고 생각합니다.,,
저도 재수초반에 마스터님이하신 방법으로 형광펜 여섯개로 평가 전에 국어 저정도로 분석하면서공부해써요,저도 재수 초반에 마스터님이 하신 방법으로 형광펜 여섯 개로 평가 전에 국어 저 정도로 분석하면서 공부했어요.,,
가시간에따라 차이가있을뿐 쇠퇴 업시 발전만한다는점에서 진화론의 입장으로 볼수잇는것 아닌가요?,가 시간에 따라 차이가 있을 뿐 쇠퇴 없이 발전만 한다는 점에서 진화론의 입장으로 볼 수 있는 것 아닌가요?,,
풀이 찍어서 올릴라 그랬는데 정확히 똑같이 풀어버리셨네,풀이 찍어서 올리려고 그랬는데 정확히 똑같이 풀어버리셨네.,,
의도치 않은 노래 추가로 재업로드합니다,의도치 않은 노래 추가로 재업로드합니다.,,
질적연구는 알겠는데 양적연구를 잘모르게써요.,질적 연구는 알겠는데 양적 연구를 잘 모르겠어요.,,
시험당일 발열 유증상자는 병원에서 코으로나검사실시하구 증빙서류 첨부해주세요.,시험 당일 발열 유증상자는 병원에서 코로나 검사 실시하고 증빙서류 첨부해 주세요.,,
사실 나도 뒤애서 훔쳐보는중이라서요,사실 나도 뒤에서 훔쳐보는 중이라서요.,,
유람을통해 만족감을 느끼고있따는정두로 이해하면돼나요?,유람을 통해 만족감을 느끼고 있다는 정도로 이해하면 되나요?,,
면접도 다수의 참여자들이가능하고 실험도 다수를대상으로 실험할수있따고...,면접도 다수의 참여자들이 가능하고 실험도 다수를 대상으로 실험할 수 있다고...,,
줏대있게 문과 그거 제가 해보겠습나다,"줏대 있게 문과, 그거 제가 해보겠습니다.",,
역할수행을위해준비한 모든 행동들이 역할 행동에 포함될수인나요.,역할 수행을 위해 준비한 모든 행동들이 역할 행동에 포함될 수 있나요.,,
그쯤 생각하구가면돼지않겠나?,그쯤 생각하고 가면 되지 않겠나?,,
보조용언이 만나서 생기는 단어중 붙여스는게요,보조용언이 만나서 생기는 단어 중 붙여 쓰는 게요.,,
잠도 안 오는 김에 들 귀여운 거 보고 힘내라구 영상 하나 올려요,잠도 안 오는 김에 들 귀여운 거 보고 힘내라고 영상 하나 올려요.,,
어제는내가 기븐이 참 좋았다.,어제는 내가 기분이 참 좋았다.,,
"자막으으로 달린 부분에서 비믄, 정문과 자막이 의미하는 바가 뭔지 모르겠어요","자막으로 달린 부분에서 비문, 정문과 자막이 의미하는 바가 뭔지 모르겠어요.",,
다섯문제씩 끊었을떄 기준인가요?,다섯 문제씩 끊었을 때 기준인가요?,,
가장 바람직한공부법인지 궁금해서 여쭤봄니다!,가장 바람직한 공부법인지 궁금해서 여쭤봅니다!,,
언어 습관드를하나둘씩 교정하고선생님께서 알려주시는 여러 독서 방법드를 잘 배우고있습니다.,언어 습관들을 하나둘씩 교정하고 선생님께서 알려주시는 여러 독서 방법들을 잘 배우고 있습니다.,,
작년에는 코으로나로 면접을아예 실시하지않았다.,작년에는 코로나로 면접을 아예 실시하지 않았다.,,
그 아이는말을하기를거부라는건가,그 아이는 말을 하기를 거부하는 건가?,,
복습을 진행하면서 글을해석하구이해하는데 집중하면대는건가요?,복습을 진행하면서 글을 해석하고 이해하는데 집중하면 되는 건가요?,,
외 비공식적사회화 기관으로 분류돼는지 궁금합니다.,왜 비공식적 사회화 기관으로 분류되는지 궁금합니다.,,
겨울방학에 탐구를 끝장을본다고 치면이정두면 아예 정시로가는게맞나요,겨울방학에 탐구를 끝장을 본다고 치면 이 정도면 아예 정시로 가는 게 맞나요?,,
비문학에 물리와 관련되서 나오면 기분이 좋나요?,비문학에 물리와 관련돼서 나오면 기분이 좋나요?,,
저거 그냥 너머ㅓ가기 쉬운 건데... 철저하시군요,저거 그냥 넘어가기 쉬운 건데... 철저하시군요.,,
하는거에대한 역사적사건은 무엇인가요?,하는 것에 대한 역사적 사건은 무엇인가요?,,
독서랑 믄학을 번갈아가며 하고싶어서질믄남깁니다,독서랑 문학을 번갈아가며 하고 싶어서 질문 남깁니다!,,
"강이에서 우리나라에 고추가 유입되어 백김치 대신 빨간 김치가보편화된거은문화 융합으로 볼수없다고하셨는데, 그이유를 잘모르겠습니다.","강의에서 우리나라에 고추가 유입되어 백김치 대신 빨간 김치가 보편화된 것은 문화 융합으로 볼 수 없다고 하셨는데, 그 이유를 잘 모르겠습니다.",,
어느 정도의 수학실력이 필요할까요?,어느 정도의 수학 실력이 필요할까요?,,
유의미한차이가나타나지않았다는거이 곧 기각을 의미하는거인가요?,유의미한 차이가 나타나지 않았다는 것이 곧 기각을 의미하는 것인가요?,,
내신 휴강일정이 언제인지알수있슬가요?,내신 휴강 일정이 언제인지 알 수 있을까요?,,
단점은 노래 들을 떄는 수학 사탐 등 단순한 과목만 해야 한다는 것이에요,단점은 노래 들을 때는 수학 사탐 등 단순한 과목만 해야 한다는 것이에요.,,
찾아보구이쓰면 찾아보구있다.,찾아보고 있으면 찾아보고 있다.,,
저희 동아리애맞는 봉사와 엮을 수 있는 방법 좀 알려주세요,저희 동아리에 맞는 봉사와 엮을 수 있는 방법 좀 알려주세요.,,
시장 경재 체재가아니라 계획 경재 체재라고하셧는데 시장 경재 체재에서자유로운 경쟁이가능하지않나요.,시장 경제 체제가 아니라 계획 경제 체제라고 하셨는데 시장 경제 체제에서 자유로운 경쟁이 가능하지 않나요.,,
전 지금까지 체육복을 더 많이 입은 기억이 남,전 지금까지 체육복을 더 많이 입은 기억이 남.,,
나두 어재 밤에 검색해보다 잤는데 아니 일단은 그 도메인도 사야함.,나도 어제 밤에 검색해 보다 잤는데 아니 일단은 그 도메인도 사야 함.,,
회사에서 자기들끼리 막 븐장대회하구 이런건 그 회사의 파티일수있는데 이태원은 대체 왜그러는건데,회사에서 자기들끼리 막 분장대회하고 이런 건 그 회사의 파티일 수 있는데 이태원은 대체 왜 그러는 건데?,,
다시 한번 생각해보게 되내요..!!,다시 한번 생각해 보게 되네요..!!,,
혹시 나증에 중대에서 뵐 일 있으면 밥 한 번 같이 먹었으면 좋겠네요,혹시 나중에 중대에서 뵐 일 있으면 밥 한 번 같이 먹었으면 좋겠네요.,,
지금 공부를 더 하기는 싫으니깤 일찎 일어나면 되,지금 공부를 더 하기는 싫으니까 일찍 일어나면 돼.,,
나믄 시험기간은 마스터님과 함께할게요,남은 시험기간은 마스터님과 함께할게요.,,
마스터님이 역으로 문제룰 제시해 주시다니 정기콘텐츠 기대할게요,마스터님이 역으로 문제를 제시해 주시다니 정기 콘텐츠 기대할게요.,,
담 강이가 올라와야 궁금증을해소할수잇는데 못 기다리겠어요.,다음 강의가 올라와야 궁금증을 해소할 수 있는데 못 기다리겠어요.,,
이시기에마니들 퇴소함미다.,이 시기에 많이들 퇴소합니다.,,
어떡해사구과정을 바로잡아야하는지모르겠습니다.,어떻게 사고과정을 바로잡아야 하는지 모르겠습니다.,,
줄이랑 칸 간격만 잘 맞춰도 괜찮아 보이더라구요,줄이랑 칸 간격만 잘 맞춰도 괜찮아 보이더라고요.,,
호옥시동의어사전 등도 정리됀거이있나요?,혹시 동의어 사전 등도 정리된 것이 있나요?,,
요기서의전제는 필요조건을 의미함미다.,여기서의 전제는 필요조건을 의미합니다.,,
지금 중급반 자유형도못해.,지금 중급반 자유형도 못해.,,
비문학 풀때마다 어려웠는데 이거보니 이해가 되내요,비문학 풀 때마다 어려웠는데 이거 보니 이해가 되네요.,,
아쉽지안은만족할만한 중간고사가되기를 응원하겠슴니다!,아쉽지 않은 만족할 만한 중간고사가 되기를 응원하겠습니다!,,
하시구그리셨는데이 이유가 궁금함니다.,하시고 그리셨는데 이 이유가 궁금합니다.,,
선생님은 가튼 압력일떄 부피의 대소로 인력의 대소비교를 하셨는데요,선생님은 같은 압력일 때 부피의 대소로 인력의 대소 비교를 하셨는데요.,,
다만 제가 가튼 책과 강의를 다시듣는걸 너무 지겨워해서 집중을 못하는 타입이에요,다만 제가 같은 책과 강의를 다시 듣는 걸 너무 지겨워해서 집중을 못 하는 타입이에요.,,
환블하기 머무 싫엇나봄,환불하기 너무 싫었나 봄.,,
범위에 해당하는것만 푸셔도 괜찮습니디.,범위에 해당하는 것만 푸셔도 괜찮습니다.,,
위에 실시간으로 뜨는건 위아래 짤려서 보이다보니 입체적으로 보여서 기하 문재집같다,위에 실시간으로 뜨는 건 위아래 잘려서 보이다 보니 입체적으로 보여서 기하 문제집 같다.,,
광주에서는그직전에 유흥업소에서 코으로나 터졌잖아.,광주에서는 그 직전에 유흥업소에서 코로나 터졌잖아.,,
그럿다면 구체적인시기도잇나요?,그렇다면 구체적인 시기도 있나요?,,
꼭 그렇지않더라도 회계학자체가 유용해서전공 살려서 취업하는경우가마저요,꼭 그렇지 않더라도 회계학 자체가 유용해서 전공 살려서 취업하는 경우가 많아요!,,
장면이 넘어가지안고는 둘 이상의 사건이 발생할수없나요?,장면이 넘어가지 않고는 둘 이상의 사건이 발생할 수 없나요?,,
공부를해야돼는데 또 공부는 하기싫음.,공부를 해야 되는데 또 공부는 하기 싫음.,,
이런문재는 어떠케 푸나요?,이런 문제는 어떻게 푸나요?,,
학교는 공식 조직인데 학급도공식 조직이라구 볼수인나요?,학교는 공식 조직인데 학급도 공식 조직이라고 볼 수 있나요?,,
영어에관심이있으신 그부븐들이올리시는 칼럼들에도 묻어전다.,영어에 관심이 있으신 그 부분들이 올리시는 칼럼들에도 묻어난다.,,
모두의 목표를 응원합니다,모두의 목표를 응원합니다.,,
그리고 도표 강의 복습은 어떻게하는거이 조은가요?,그리고 도표 강의 복습은 어떻게 하는 것이 좋은가요?,,
서술자의 판단이나타나잇다구 적혀잇다,서술자의 판단이 나타나있다고 적혀있다.,,
저게 항상반인지 어떻게 알수잇나요?,저게 항상 반인지 어떻게 알 수 있나요?,,
수혜 대상자가 무슨뜻이고 요기서 시청각 장애인을가리키는말인가요?,수혜 대상자가 무슨 뜻이고 여기서 시청각 장애인을 가리키는 말인가요?,,
당연히한숨을통해 환기된 정서는 청각적심상을통해 환기된 정서 아닌가여?,당연히 한숨을 통해 환기된 정서는 청각적 심상을 통해 환기된 정서 아닌가요?,,
"비록 많이 부족하고 어설프긴 햇지만, 제 강의를 좋아해주셔서 감사드리고요.","비록 많이 부족하고 어설프긴 했지만, 제 강의를 좋아해 주셔서 감사드리고요.",,
함 들어와봤는데 딱 떠서 반가웠내요,함 들어와 봤는데 딱 떠서 반가웠네요.,,
또 이선지를 어떠케 바꿔야 옳은선지인가요?,또 이 선지를 어떻게 바꿔야 옳은 선지인가요?,,
아니면 꼭 미분을해바야되는 근거가잇나요?,아니면 꼭 미분을 해봐야 되는 근거가 있나요?,,
잇다면 재가어떤점을 간과하는건가여?,있다면 제가 어떤 점을 간과하는 건가요?,,
그리구이부분은 알아야하는부분이죠?,그리고 이 부분은 알아야 하는 부분이죠?,,
개념형모의고사 잇던데 그거해도될꺼요?,개념형 모의고사 있던데 그거 해도 될까요?,,
혹쉬 왜 논이라고 표현했는지알수있슬가요?,혹시 왜 논이라고 표현했는지 알 수 있을까요?,,
이번수능끗나기전까지 단어 끗내야지...,이번 수능 끝나기 전까지 단어 끝내야지...,,
어떻케 저런 공식이나올수잇는건가요?,어떻게 저런 공식이 나올 수 있는 건가요?,,
그러면 마음이 쪼금이나마 편해지실것입니다.,그러면 마음이 조금이나마 편해지실 것입니다.,,
호옥시 어디서 찾아야하나요?,혹시 어디서 찾아야 하나요?,,
연계교재 위주로 했습나다.,연계 교재 위주로 했습니다.,,
다들 많이떨어진다는데 감이안와서요,다들 많이 떨어진다는데 감이 안 와서요.,,
수학에서 실수 줄이는 연습을 어케 하셨는지 구체적인 설명 해주실 수 있나요?,수학에서 실수 줄이는 연습을 어떻게 하셨는지 구체적인 설명해 주실 수 있나요?,,
수능끝나고 힐링 하고싶다,수능 끝나고 힐링 하고 싶다.,,
혹시지금 구매할수잇는방법이잇나요.,혹시 지금 구매할 수 있는 방법이 있나요.,,
질문드릴라 햇는데 일대일이 닫혀있어요,질문드리려 했는데 일대일이 닫혀있어요.,,
교육 관련 교양을들으면서 느끼는바가 꽤있었니요,교육 관련 교양을 들으면서 느끼는 바가 꽤 있었네요.,,
꼭 그렇게 정신승부해야 성이 풀리나바,꼭 그렇게 정신 승부해야 성이 풀리나 봐.,,
호옥시 제가 놓친 부분이인나요?,혹시 제가 놓친 부분이 있나요?,,
호옥시 유전자에대한글인가요.,혹시 유전자에 대한 글인가요.,,
제가 국어를 되게 잘햇으면 먼가 도움이대는말을드렸겠지만요,제가 국어를 되게 잘했으면 뭔가 도움이 되는 말을 드렸겠지만요.,,
영어 모의고사 떄문에 정신이 없었나봐요...,영어 모의고사 때문에 정신이 없었나 봐요.,,
히틀러와 무슨 관련이잇는거까요 아니면 걍 전쟁을하기위해 아무나 고른거까요?,히틀러와 무슨 관련이 있는 걸까요 아니면 그냥 전쟁을 하기 위해 아무나 고른 걸까요?,,
자존감 올리는 방법중에 계획한거 차근차근 이뤄서 성취감 만들기있던데요,자존감 올리는 방법 중에 계획한 거 차근차근 이뤄서 성취감 만들기 있던데요.,,
마지막 한문쟝이 바뀌었니요.,마지막 한 문장이 바뀌었네요.,,
계속 학교가 규칙업씨 바뀌어서 배정되더라구요,계속 학교가 규칙 없이 바뀌어서 배정되더라고요.,,
경제지문만의 패턴이 보일거에요,경제 지문만의 패턴이 보일 거예요.,,
믄법은 형태를 꼭 봐야해요!,문법은 형태를 꼭 봐야 해요!,,
정답으으로 찎었는데 그건 안되나용,정답으로 찍었는데 그건 안 되나요?,,
요즘 새로 살까말까 고민중인데 대학원 가면 새로 살것 같기도 하구 그러네요,요즘 새로 살까 말까 고민 중인데 대학원 가면 새로 살 것 같기도 하고 그러네요.,,
달까지 못가면 별은 애초에 꿈도 못꾼다.,달까지 못 가면 별은 애초에 꿈도 못 꾼다.,,
이걸 공표하면 그걸 가지구 사람들이 연구하고 하지않을가요?,이걸 공표하면 그걸 가지고 사람들이 연구하고 하지 않을까요?,,
생각하게되어서 단어를 초큼씩 외우기시작햇어요.,생각하게 되어서 단어를 조금씩 외우기 시작했어요.,,
너므 꼼꼼하게햇어서 시간을 옴청 잡아먹을필요는 없어요,너무 꼼꼼하게 해서 시간을 엄청 잡아먹을 필요는 없어요.,,
변환표준점수에 대해 아시면 설명쫌 자세히 해주실수 있나요?,변환표준점수에 대해 아시면 설명 좀 자세히 해주실 수 있나요?,,
과감히 답을 찍고 너머가는 행위라 그런 이름이 붙었다고 하네요,과감히 답을 찍고 넘어가는 행위라 그런 이름이 붙었다고 하네요.,,
비싸고 맛잇는커피 먹어보면 커피를 외먹는지알지도 몰라요,비싸고 맛있는 커피 먹어보면 커피를 왜 먹는지 알지도 몰라요.,,
어릴때부터 반장은 아니여도 선생님들 도와주는거 되게 좋아했어서요,어릴 때부터 반장은 아니어도 선생님들 도와주는 거 되게 좋아했어요.,,
열대야가서울에서 별로안일어났다는건가여?,열대야가 서울에서 별로 안 일어났다는 건가요?,,
역시 교육과정에서 빠진것도 재밌어서 알아두길 잘햇꾼,역시 교육과정에서 빠진 것도 재밌어서 알아두길 잘했군.,,
그 뉴스에서봤는데 특목고 폐지 안한다고 말했다는데...,그 뉴스에서 봤는데 특목고 폐지 안 한다고 말했다는데...,,
궁금한거 잇으시면 댓글 달아주세요!,궁금한 거 있으시면 댓글 달아주세요!,,
빛의 밝기가 빛의세기랑 구분대는개념인가요?,빛의 밝기가 빛의 세기랑 구분되는 개념인가요?,,
애기떄부터 옆구리에 하트가 있었답니다,아기 때부터 옆구리에 하트가 있었답니다.,,
두장소 피 큐에서 각각 시작과 끗이라서?,두 장소 피 큐에서 각각 시작과 끝이라서?,,
해외가도 집애만있게생겻네 그렇겠죠...?,해외가도 집에만 있게 생겼네 그렇겠죠...?,,
만약 개학이 추가로 또 연기되면 어떠케 될지 아무도 알 수 없어요,만약 개학이 추가로 또 연기되면 어떻게 될지 아무도 알 수 없어요.,,
새로 교제를 사야할까요?,새로 교재를 사야 할까요?,,
근대 풀이는 왜 간다고해서풀이가돼는건가요?,근데 풀이는 왜 간다고 해서 풀이가 되는 건가요?,,
글구 소속감의명확한이미가 궁금함니다.,그리고 소속감의 명확한 의미가 궁금합니다.,,
댓글 수정해주신 것도 감사드려요,댓글을 수정해 주신 것도 감사드려요.,,
외이와 가튼표로 비교하나요.,왜 이와 같은 표로 비교하나요.,,
재가 첨으로 승소하면 그떄 스강료를 내겠습니다,제가 처음으로 승소하면 그때 수강료를 내겠습니다.,,
좀 구체적으으로 시적 상황이 궁금해서요,좀 구체적으로 시적 상황이 궁금해서요.,,
혹시기억하기쉬운 사례가있슬가요.,혹시 기억하기 쉬운 사례가 있을까요.,,
작년교제를 받은것갔습니다.,작년 교재를 받은 것 같습니다.,,
이말 뜻이 이해가되지안어 질문을 남깁니다.,이 말 뜻이 이해가 되지 않아 질문을 남깁니다.,,
허리질환 완치는 불가능하드라도 꼭 호전되었으면좋겠네요.,허리 질환 완치는 불가능하더라도 꼭 호전되었으면 좋겠네요.,,
더워서 그럿다구 뭐 중얼중얼대는거야,더워서 그렇다고 뭐 중얼중얼 대는 거야.,,
아니면 코일주위를 재외한부분인가요?,아니면 코일 주위를 제외한 부분인가요?,,
